cytoband	1q43	Xq25	1q31.1	Xq23	3p12.2	8q23.1	9p24.3	10q21.1	12p12.3	14q12	17q11.2	19q11	19p13.3	21q22.12	Xq21.1	
		RN7SKP31	ZNF648			snoU13|ENSG00000238901.1	KANK1		RN7SL69P	RN7SKP257	KCNJ12	KLHL26		ERG	RN7SKP31	
		RN7SL325P	TEDDM1			HAS2	SLC24A2		NDUFA9	DPPA3P2	NF1	ATP13A1		ETS2	RN7SL325P	
		SNORD61|ENSG00000206979.1	FAM5C			RNA5SP277	RANBP6		C12orf5	RN7SKP21	NOS2	ZNF492		HLCS	SNORD61|ENSG00000206979.1	
		MIR934	RGSL1			RN7SL396P	CD274		FKBP4	PTCSC3	OMG	SUGP1		HMGN1	MIR934	
		snoU13|ENSG00000239080.1	LINC00272			RN7SKP153	BNC2		CBX3P4	snoU13|ENSG00000238718.1	MAP2K3	KXD1		PRMT2	snoU13|ENSG00000239080.1	
		RNA5SP515	APOBEC4			SNORA32|ENSG00000206776.1	HAUS6		CACNA1C	SNORA31|ENSG00000253059.1	SDF2	ZNF430		ITGB2	RNA5SP515	
		LINC00086	RGS21			COLEC10	CNTLN		LINC00940	KIAA0391	SLC6A4	PBX4		KCNJ15	LINC00086	
		LINC00633				EXT1	SPATA6L		LINC00942	RN7SL660P	SUPT6H	ZNF93		LSS	LINC00633	
		LINC00087				SNORA31|ENSG00000252852.1	DENND4C		RN7SL852P	GPR33	TNFAIP1	TSSK6		MX1	LINC00087	
		SMIM10				RN7SL826P	PLGRKT		RNU4ATAC16P	MIR624	FOXN1	ZNF486		MX2	SMIM10	
		LINC00629				RN7SL228P	CBWD1		FAM138D	BNIP3P1	SLC13A2	ZNF682		PCNT	LINC00629	
		GPC4				AARD	KIAA1432		A2M	LINC00645	UNC119	ARMC6		PCP4	GPC4	
		SNORA8|ENSG00000207100.1				EIF3H	DMRT3		APOBEC1	SNORD37|ENSG00000212270.1	GOSR1	ZNF257		PDE9A	SNORA8|ENSG00000207100.1	
		RNA5SP514				RNA5SP276	ERMP1		ARHGDIB	TM9SF1	TRAF4	NR2C2AP		PFKL	RNA5SP514	
		RN7SL191P				LINC00536	PDCD1LG2		C1S	RNA5SP383	KIAA0100	CILP2		PKNOX1	RN7SL191P	
		FAM45B				snoU13|ENSG00000238656.1	DOCK8		C3AR1	DHRS4L1	ULK2	ZNF98		PWP2	FAM45B	
		RNA5SP513				SNORD112|ENSG00000252559.1	TPD52L3		CCND2	LINC00596	SPAG5	ZNF714		SH3BGR	RNA5SP513	
		DCAF12L2				TMEM74	IL33		CD4	RN7SKP205	AKAP10	ZNF681		SIM2	DCAF12L2	
		snoU13|ENSG00000238626.1				RNA5SP275	C9orf123		CD9	MIR208B	SARM1	ZNF676		SLC19A1	snoU13|ENSG00000238626.1	
		SNORA40|ENSG00000252693.1				snoU13|ENSG00000238687.1	ADAMTSL1		CD27	MIR208A	USP22	ZNF100		SUMO3	SNORA40|ENSG00000252693.1	
		snoU13|ENSG00000239058.1				RIMS2	UHRF2		CD69	PABPN1	PPY2	SSBP4		TFF1	snoU13|ENSG00000239058.1	
		RN7SL29P				MIR3151	C9orf66		CDKN1B	C14orf164	PYY2	ZNF431		TFF2	RN7SL29P	
		U3|ENSG00000212321.1				RNU6ATAC8P	TTC39B		CHD4	SNORA73|ENSG00000252114.1	DHRS7B	ZNF675		TFF3	U3|ENSG00000212321.1	
		CT47A12				snoU13|ENSG00000238533.1	FAM154A		CREBL2	SNORD41|ENSG00000212302.1	POLDIP2	ZNF626		TRAPPC10	CT47A12	
		ABCD1				snoU13|ENSG00000238372.1	FREM1		ATN1	OR6J1	TBC1D29	SLC25A42		TMPRSS2	MCTS1	
		XIAP				RN7SL563P	KIAA2026		PHC1	TRAC	WSB1	ZNF493		TRPM2	snoU13|ENSG00000272179.1	
		ARHGAP4				NACAP1	KCNV2		EMP1	TRAJ1	ERAL1	ZNF429		TTC3	RHOXF2B	
		ATP2B3				RN7SKP249	GLIS3		ENO2	TRAJ2	TMEM97	YJEFN3		U2AF1	NDUFA1	
		ATP6AP1				RN7SL685P	CCDC171		EPS8	TRAJ3	GIT1	RPSAP58		UBE2G2	SNORA69|ENSG00000206622.1	
		AVPR2				RNU6ATAC41P	ZDHHC21		ETV6	TRAJ4	PIPOX	HAPLN4		WRB	MIR766	
		BGN				MIR1273A	PPAPDC2		FGF6	TRAJ5	CRLF3	ZNF730		C21orf33	RN7SL118P	
		BRS3				SNORD77|ENSG00000212414.1	C9orf92		FOXM1	TRAJ6	NLK	ZNF729		PDXK	SNORA35|ENSG00000239182.1	
		CD40LG				RN7SL350P	MIR4665		GAPDH	TRAJ7	FAM222B			PSMG1	MIR1277	
		CDR1				RN7SKP85			GNB3	TRAJ8	ADAP2			MCM3AP	RN7SL712P	
		CLIC2				KCNS2			GPR19	TRAJ9	NUFIP2			ABCG1	SNORA64|ENSG00000252441.1	
		CNGA2				NIPAL2			GUCY2C	TRAJ10	TAOK1			DOPEY2	SNORA35|ENSG00000271907.1	
		CTAG1B				SNORA72|ENSG00000207067.1			GYS2	TRAJ11	PHF12			DSCR4	MIR448	
		TEX28				LAPTM4B			IAPP	TRAJ12	ATAD5			DSCR3	MIR1911	
		DKC1				U3|ENSG00000207215.1			KCNA1	TRAJ13	RAB34			B3GALT5	SNORA35|ENSG00000208839.1	
		DNASE1L1				PTDSS1			KCNA5	TRAJ14	NSRP1			WDR4	SNORD30	
		DUSP9				snoU13|ENSG00000238791.1			KCNA6	TRAJ16	RNF135			FTCD	RN7SL93P	
		ELF4				FSBP			KCNJ8	TRAJ17	RAB11FIP4			HSF2BP	U3|ENSG00000201674.1	
		EMD				RNA5SP274			KLRC1	TRAJ18	CORO6			RRP1B	snoU13|ENSG00000238811.1	
		F8				LINC00535			KLRC2	TRAJ19	SSH2			DIP2A	RN7SL266P	
		F9				RN7SKP231			KLRC3	TRAJ20	TP53I13			POFUT2	MIR4329	
		FGF13				snoU13|ENSG00000239134.1			KLRD1	TRAJ21	IFT20			ICOSLG	ZCCHC16	
		FHL1				MIR4661			LAG3	TRAJ22	SPECC1			MORC3	TRPC5OS	
		FLNA				RN7SL777P			LDHB	TRAJ23	PIGS			CLDN14	RNA5SP512	
		FMR1				RNA5SP273			LRP6	TRAJ24	SLC46A1			BACE2	RN7SL661P	
		AFF2				LINC00534			LTBR	TRAJ25	ABHD15			C2CD2	LINC00890	
		G6PD				RNA5SP272			M6PR	TRAJ26	TLCD1			DNMT3L	TDGF1P3	
		GABRA3				MMP16			MGP	TRAJ27	SEZ6			ZBTB21	GNG5P2	
		GABRE				ADCY8			MGST1	TRAJ28	ANKRD13B			PIGP	SNORD96B	
		GDI1				ANGPT1			NINJ2	TRAJ29	PROCA1			UBASH3A	MIR3978	
		GPC3				ANXA13			NOP2	TRAJ30	DHRS13			RIPPLY3	MIR652	
		GLUD2				ATP6V1C1			NTF3	TRAJ31	LYRM9			BRWD1	MID2	
		GRIA3				BAI1			OLR1	TRAJ32	CDRT15L2			SLC37A1	NCBP2L	
		HCFC1				OSGIN2			PDE3A	TRAJ33	C17orf103			PCBP3	RBM41	
		HMGB3				CALB1			PDE6H	TRAJ34	KRT18P55			C21orf58	MIR548AN	
		HPRT1				RUNX1T1			PIK3C2G	TRAJ35	FAM27L			YBEY	ZCCHC18	
		IDH3G				CDH17			PRB1	TRAJ36	LGALS9B			TSPEAR	RNA5SP511	
		IDS				COX6C			PRB3	TRAJ37	CCDC144NL			SETD4	LINC00630	
		IGSF1				CYC1			PRB4	TRAJ38	C17orf51			RIPK4	NXF4	
		IL9R|ENSG00000124334.12				CYP11B1			PRH1	TRAJ39	EFCAB5			AGPAT3	TCP11X1	
		IRAK1				CYP11B2			PTMS	TRAJ40	TMIGD1			PRDM15	TCP11X3P	
		L1CAM				DECR1			PTPN6	TRAJ41	MYO18A			TMPRSS3	TCEAL6	
		SH2D1A				DPYS			PTPRO	TRAJ42	MTRNR2L1			COL18A1	SNORA9|ENSG00000202231.1	
		MAGEA1				EEF1D			PEX5	TRAJ43	MIR4523			LRRC3	TSPAN6	
		MAGEA2				GEM			PZP	TRAJ44	MIR4724			SPATC1L	SNORA25|ENSG00000252296.1	
		MAGEA3				GLI4			RAD52	TRAJ45	MIR4733			C21orf67	RN7SL74P	
		MAGEA4				GML			KDM5A	TRAJ46	MIR4522			DSCR8	RN7SKP194	
		MAGEA6				GPR20			RECQL	TRAJ47	MIR4732			FAM207A	RN7SL379P	
		MAGEA8				GPT			SCNN1A	TRAJ48				RSPH1	RNA5SP510	
		MAGEA9				GRINA			ST8SIA1	TRAJ49				UMODL1	ACA64|ENSG00000252016.1	
		MAGEA10				HSF1			SLC2A3	TRAJ50				LINC00313	SNORD45|ENSG00000200422.1	
		MAGEA11				EIF3E			SLC6A12	TRAJ52				C21orf88	MIR361	
		MAGEA12				KCNQ3			SLC6A13	TRAJ53				LCA5L	APOOL	
		MCF2				LY6E			SLCO1A2	TRAJ54				IGSF5	UBE2DNL	
		MECP2				LY6H			SOX5	TRAJ56				SIK1	RPS6KA6	
		MPP1				MATN2			VAMP1	TRAJ57				LINC00479	SNORA4|ENSG00000202183.1	
		MTCP1				MYC			TEAD4	TRAJ58				C21orf128	ACA64|ENSG00000239008.1	
		MTM1				NBN			TNFRSF1A	TRAJ59				DSCR9	CYSLTR1	
		OCRL				NDUFB9			TPI1	TRAJ61				DSCR10	COX7B	
		PLXNB3				TONSL			TULP3	TRDV3				LINC00319	RN7SL460P	
		OPN1LW				NOV			VWF	TRDC				LINC00114	FGF16	
		RENBP				ODF1			FGF23	TRDJ3				MIR802	RNA5SP509	
		RPL10				TNFRSF11B			MFAP5	TRDJ2				MIR3197	RNA5SP508	
		SLC6A8				ENPP2			USP5	TRDJ4					RN7SL641P	
		SMARCA1				PLEC			MLF2	TRDJ1					RN7SL790P	
		SOX3				POLR2K			KLRC4	TRDD3					RN7SL648P	
		SSR4				PTK2			YBX3	TRDD2					FTX	
		VAMP7|ENSG00000124333.10				RAD21			DYRK4	TRDD1					JPX	
		TAZ				RPL8			CD163	TRDV2					XIST	
		VBP1				RPL30			GDF3	TRAV41					TSIX	
		XPNPEP2				SDC2			CLSTN3	TRAV40					MAP2K4P1	
		ZIC3				ST3GAL1			C2CD5	TRAV39					CDX4	
		ZNF75D				SLA			NCAPD2	TRAV36DV7					LINC00684	
		ZNF185				SNTB1			ABCC9	TRAV35					FAM226A	
		F8A1				SPAG1			LPCAT3	TRAV34					U3|ENSG00000202482.1	
		UBL4A				SQLE			KLRG1	TRAV30					RPS4X	
		TMEM187				STK3			LRRC23	TRAV29DV5					RN7SL264P	
		SLC10A3				TAF2			EMG1	TRAV27					RN7SL388P	
		TKTL1				TG			LEPREL2	TRAV25					CXorf49B	
		IKBKG				KLF10			AKAP3	TRAV24					CXorf49	
		MTMR1				TRHR			SLCO1B1	TRDV1					INGX	
		APLN				TRPS1			RAD51AP1	TRAV23DV6					snoU13|ENSG00000252525.1	
		FAM127A				TSTA3			KLRAP1	TRAV22					CXorf65	
		SLC25A14				COL14A1			TSPAN9	TRAV21					RN7SL746P	
		FAM50A				UQCRB			STRAP	TRAV20					U3|ENSG00000199769.1	
		AIFM1				YWHAZ			PRR4	TRAV19					RNY4P23	
		TMEM257				ZNF7			PHB2	TRAV18					RNA5SP507	
		GPR50				ZNF16			KLRK1	TRAV17					RN7SL581P	
		RAB33A				PSCA			ERC1	TRAV16					MIR676	
		ARHGEF6				FZD6			GABARAPL1	TRAV14DV4					U3|ENSG00000212434.1	
		MAGEC1				LY6D			IFFO1	TRAV10					LINC00269	
		MAMLD1				GPAA1			NECAP1	TRAV7					RN7SL799P	
		BCAP31				RIPK2			CLEC4E	TRAV6					SPIN3	
		TENM1				FOXH1			GALNT8	TRAV5					SNORD112|ENSG00000252961.1	
		SPRY3|ENSG00000168939.6				CCNE2			GPR162	TRAV4					APEX2	
		SLC9A6				EBAG9			SLCO1B3	TRAV3					SNORA11|ENSG00000221750.1	
		ENOX2				RECQL4			COPS7A	TRAV2					SNORA11|ENSG00000221716.1	
		STAG2				LRRC14			TAS2R9	RN7SL650P					GNL3L	
		PLAC1				EMC2			TAS2R7	SNORD8					U3|ENSG00000252175.1	
		UTP14A				MTSS1			TAS2R13	SNORD9					RNA5SP505	
		ZNF275				ZNF623			TAS2R10	LINC00641					MIRLET7F2	
		TREX2				KIAA0196			CLEC4A	RNASE8					MIR98	
		LDOC1				HHLA1			HEBP1	RN7SL189P					SPANXN5	
		FAM127B				TRIB1			GOLT1B	PNP					RNA5SP504	
		SRPK3				HRSP12			DERA	RNA5SP382					XAGE2	
		RBMX				NDRG1			ING4	RPPH1					SNORA11D	
		HTATSF1				CPQ			DDX47	SNORD126					SNORA11E	
		PNMA3				KHDRBS3			CLEC1B	SNORA79|ENSG00000222489.1					CENPVP1	
		CTAG2				POP1			CLEC1A	TTC5					DGKK	
		NSDHL				ZHX1			C1RL	OR11H7					MIR502	
		ZDHHC9				PUF60			KLRF1	RNA5SP381					MIR660	
		TFDP3				ZHX2			WBP11	RNA5SP380					MIR500B	
		MAGEC2				DENND3			SLCO1C1	OR4Q2					MIR501	
		VGLL1				ZC3H3			PLEKHA5	snoU13|ENSG00000238492.1					MIR362	
		RBMX2				EFR3A			MANSC1	MED15P6					MIR500A	
		MST4				BOP1			TAPBPL	LINC00516					MIR188	
		SASH3				ZFPM2			FAM90A1	MED15P1					MIR532	
		CXorf48				SCRIB			PLEKHG6	ANG					GAGE1	
		TMLHE				LRRC6			STYK1	APEX1					MAGIX	
		SAGE1				RAD54B			ETNK1	ARHGAP5					RN7SL262P	
		PLXNA3				DCAF13			GPRC5D	BCL2L2					GPKOW	
		HAUS7				RNF19A			ATF7IP	BMP4					WDR45	
		ZNF280C				KIAA1429			H2AFJ	CDKN3					RN7SL139P	
		MBNL3				RGS22			FOXJ2	CEBPE					ERAS	
		MOSPD1				FBXL6			ITFG2	CFL2					GLOD5	
		THOC2				OPLAH			LMO3	CMA1					RBM3	
		PDZD4				PABPC1			CMAS	LTB4R					snoU13|ENSG00000239017.1	
		RAP2C				KCNV1			PRMT8	CTSG					RNA5SP503	
		FAM3A				MTBP			PARP11	DAD1					snoU13|ENSG00000238473.1	
		BCORL1				AGO2			ANO2	COCH					CXXC1P1	
		SPANXC				COMMD5			C12orf4	FKBP3					CXorf24	
		PRRG3				MRPL13			LPAR5	FOXG1					SNORA11C	
		BRCC3				ATAD2			AICDA	GCH1					ZNF157	
		MAP7D3				CPSF1			RIMKLB	GMFB					RN7SL785P	
		GPR101				LRP12			KIAA1467	GZMH					snoU13|ENSG00000238729.1	
		CD99L2				RRM2B			CLEC7A	GZMB					INE1	
		H2AFB3				CYHR1			WNK1	HIF1A					SLC9A7	
		USP26				ASAP1			BCL2L14	FOXA1					SNORD77|ENSG00000212347.2	
		PHF6				MTERFD1			ADIPOR2	HNRNPC					RN7SL291P	
		TMEM185A				FAM135B			RERGL	KTN1					EFHC2	
		SLITRK2				PHF20L1			NANOG	LGALS3					MAOA	
		FATE1				ZNF706			WNT5B	MGAT2					RN7SL144P	
		HS6ST2				VPS28			APOLD1	CTAGE5					RN7SL406P	
		FRMD7				FAM203A			GSG1	MMP14					RN7SL15P	
		CXorf40A				KCNK9			CDCA3	MNAT1					RNA5SP502	
		FAM58A				THEM6			RHNO1	MYH6					CXorf38	
		MMGT1				UBR5			NRIP2	MYH7					snoU13|ENSG00000238920.1	
		PNMA5				FAM49B			RBP5	NEDD8					MIR1587	
		RAB39B				AZIN1			CCDC77	NFATC4					RN7SL732P	
		SLITRK4				OTUD6B			ACRBP	NFKBIA					SNORA31|ENSG00000252050.1	
		SPANXN3				CHRAC1			SPSB2	NOVA1					TM4SF2	
		MAGEC3				EXOSC4			EFCAB4B	NRL					CXorf30	
		PASD1				PDP1			RERG	OTX2					snoU13|ENSG00000238969.1	
		DCAF12L1				ESRP1			PLCZ1	OXA1L					MIR548F5	
		GPR112				TRMT12			CACNA2D4	PAX9					MIR3915	
		GAB3				OXR1			CAPZA3	PCK2					RNA5SP501	
		PNCK				WDYHV1			CLEC6A	PNN					NR0B1	
		ZFP92				TMEM55A			C12orf57	POLE2					MIR4666B	
		ACTRT1				SLC39A4			LOH12CR1	PPM1A					RNA5SP500	
		GPR119				SYBU			TMEM52B	PRKCH					SNORD74|ENSG00000201666.1	
		CSAG1				INTS8			HIST4H4	PRKD1					IL1RAPL1	
		FMR1NB				GSDMC			SLC2A14	PSMA3					DCAF8L2	
		ARHGAP36				ENY2			A2ML1	PSMA6					VENTXP1	
		FAM122B				SLURP1			FBXL14	PSMB5					RN7SL91P	
		FAM122C				SLC45A4			CLEC12A	PSMC6					SCARNA23	
		DDX26B				ZFAT			CLECL1	PSME1					SNORA68|ENSG00000201407.1	
		ZNF449				ZNF250			CLEC4C	PSME2					EIF2S3	
		VMA21				NECAB1			ZNF384	PTGDR					snoU13|ENSG00000238327.1	
		CTAG1A				DEPTOR			PIANP	PTGER2					PTCHD1	
		CT47A11				PYCRL			DCP1B	PYGL					RN7SL436P	
		ATP11C				C8orf33			TAS2R43	RABGGTA					RN7SKP183	
		LINC00632				LYNX1			TAS2R31	ARID4A					MIR23C	
		OR13H1				DSCC1			TAS2R46	RNASE1					RN7SL48P	
		CCDC160				DERL1			TAS2R19	RNASE2					MIR4768	
		CXorf66				SLC52A2			TAS2R50	RNASE3					snoU13|ENSG00000238764.1	
		UBE2NL				PLEKHF2			CD163L1	RNASE4					SNORA16|ENSG00000201467.1	
		MIR106A				GSDMD			B4GALNT3	RNASE6					SYAP1	
		MIR19B2				BAALC			CLEC9A	RPS29					MIR548AM	
		MIR92A2				GRHL2			C12orf36	RTN1					RN7SL658P	
		FAM127C				ARHGAP39			CLEC4D	SALL2					GRPR	
		CT45A3				ZNF34			SLCO1B7	SNAPC1					SNORA7|ENSG00000200620.1	
		CT45A4				SLC25A32			ACSM4	SOS2					CA5BP1	
		CT45A5				DCSTAMP			TAS2R42	SRP54					RAB9A	
		SPANXN4				SHARPIN			DPPA3	SSTR1					TCEANC	
		H2AFB2				SCRT1			NANOGNB	STYX					RN7SKP20	
		H2AFB1				TRAPPC9			CLEC2A	TEP1					7SK|ENSG00000271814.1	
		SPANXN2				TATDN1			CLEC12B	TGM1					MIR548AX	
		MIR503HG				NCALD			LINC00937	GEMIN2					RNA5SP499	
		CT45A6				MAF1			MIR141	AP1G2					SNORA31|ENSG00000252291.1	
