cytoband	9p21.3	22q12.1	6p24.3	6q25.3	3p13	2q37.1	3p26.1	
				RN7SKP56	FAM3D	DGKD	EGOT	
				CLVS2	C3orf49	STK16	SNORA43|ENSG00000253049.1	
				RN7SL564P	SYNPR	CDK5R2	RN7SKP144	
				SIGLECP3	ASB14	RQCD1	RN7SL120P	
				RNA5SP215	FAM19A4	GPR55	ACAA1	
				MIR548B	PPP4R2	TRIP12	ACVR2B	
				RN7SKP51	PRICKLE2	ECEL1	ATP2B2	
				RN7SKP18	C3orf67	EIF4E2	BTD	
				RNA5SP214	KCTD6	TTLL4	CAV3	
				FAM26E	DNAH12	FARSB	ENTPD3	
				ACAT2	DENND6A	ABCB6	CCR8	
				ARG1	CADM2	ARL4C	CTNNB1	
				CCR6	EOGT	SPEG	CX3CR1	
				CTGF	EIF4E3	NMUR1	DAZL	
				EPB41L2	SPATA12	SP140	FANCD2	
				EYA4	FAM19A1	OBSL1	FBLN2	
				ESR1	FRG2C	DNPEP	GOLGA4	
				FABP7	MIR1284	SH3BP4	GRM7	
				FUCA2	MIR1324	KCNE4	HRH1	
				GJA1	MIR4273	NGEF	IL5RA	
				GRM1	MIR3923	GIGYF2	IRAK2	
				HIVEP2		CNPPD1	ITPR1	
				HSF2		STK36	RPSA	
				IFNGR1		GMPPA	MLH1	
				IGF2R		CAB39	MOBP	
				KIF25		PRKAG3	MYD88	
				KPNA5		UGT1A10	OGG1	
				LAMA2		UGT1A7	OXTR	
				LPA		UGT1A6	PLCD1	
				MAN1A1		UGT1A5	PPARG	
				MAS1		UGT1A9	RAB5A	
				MAP3K4		UGT1A4	RAF1	
				MAP3K5		UGT1A8	RARB	
				MLLT4		UGT1A1	RPL15	
				MYB		FEV	RPL32	
				NMBR		PID1	SATB1	
				OPRM1		ATG16L1	SCN5A	
				PARK2		ANKZF1	SCN10A	
				PCMT1		USP40	SEC13	
				PDCD2		HJURP	SETMAR	
				ENPP1		ASIC4	SLC6A1	
				ENPP3		DOCK10	SLC6A6	
				PEX7		C2orf83	STAC	
				PLAGL1		MFF	TGFBR2	
				PLG		WDFY1	THRB	
				PLN		NYAP2	TIMP4	
				PKIB		USP37	TOP2B	
				PSMB1		RNF25	UBE2E1	
				PTPRK		COPS7B	UBP1	
				ROS1		MRPL44	XPC	
				RPS6KA2		TRPM8	BRPF1	
				SGK1		ATG9A	COLQ	
				SLC22A1		FAM134A	EOMES	
				SLC22A3		GLB1L	CAMK1	
				SLC22A2		CHPF	BHLHE40	
				SOD2		IQCA1	KAT2B	
				T		NHEJ1	RPL14	
				TBP		FAM124B	LRRFIP2	
				TCF21		TM4SF20	SLC22A14	
				TCP1		TUBA4B	SLC22A13	
				TCTE3		ARMC9	SH3BP5	
				DYNLT1		EFHD1	SLC4A7	
				THBS2		SPHKAP	VGLL4	
				TNFAIP3		WNT10A	EDEM1	
				TPD52L1		SLC19A3	TBC1D5	
				UTRN		ITM2C	TATDN2	
				EZR		RHBDD1	EPM2AIP1	
				VIP		PLCD4	SRGAP3	
				EPM2A		DNER	IQSEC1	
				RNASET2		B3GNT7	DLEC1	
				SYNJ2		SP140L	EXOG	
				VNN2		STK11IP	XYLB	
				VNN1		MOGAT1	OXSR1	
				TAAR5		AGAP1	NR1D2	
				MAP7		DIS3L2	PDCD6IP	
				LATS1		AP1S3	ARPC4	
				TAAR2		SPATA3	CTDSPL	
				MED23		TMEM198	EIF1B	
				QKI		ZFAND2B	TADA3	
				AKAP7		FBXO36	CRTAP	
				WTAP		CCDC140	ATG7	
				AKAP12		SLC23A3	CHL1	
				PHACTR2		SLC16A14	ARPP21	
				BCLAF1		LINC00471	SCN11A	
				UST		DAW1	CAND2	
				TRDN		C2orf57	CLASP2	
				CITED2		TIGD1	GPD1L	
				HBS1L		CCDC108	RFTN1	
				PDE10A		C2orf72	NUP210	
				SMPDL3A		MROH2A	PLCL2	
				RAB32		RESP18	ANKRD28	
				KATNA1		C2orf82	CAPN7	
				SCAF8		ASB18	MKRN2	
				TAB2		MIR375	FBXL2	
				SASH1		PRSS56	CNOT10	
				SYNE1		MIR1471	THUMPD3	
				HEY2		MIR4268	MYRIP	
				ASF1A		MIR3132	SUSD5	
				CCDC28A		MIR5001	HACL1	
				MTHFD1L		MIR5702	TTLL3	
				MOXD1		MIR5703	CNTN6	
				IPCEF1			RBMS3	
				TIAM2			NKIRAS1	
				C6orf123			LMCD1	
				FBXO5			VILL	
				RGS17			SSUH2	
				PDE7B			TRNT1	
				DLL1			DYNC1LI1	
				MRPL18			CRBN	
				CLDN20			CCDC174	
				NOX3			GHRL	
				HDDC2			CMTM6	
				RWDD1			SLC25A38	
				AIG1			ULK4	
				SNX9			OXSM	
				MPC1			ARL8B	
				HECA			SETD5	
				IL20RA			TMEM40	
				UNC93A			NGLY1	
				MTRF1L			BRK1	
				AHI1			RAD18	
				RMND1			WDR48	
				PHF10			LRRN1	
				VNN3			CIDEC	
				C6orf70			ZFYVE20	
				ECHDC1			AZI2	
				AGPAT4			MTMR14	
				TULP4			MRPS25	
				GOPC			CSRNP1	
				GPR126			GORASP1	
				KIAA1244			CRELD1	
				NHSL1			TMEM43	
				PLEKHG1			ZNF385D	
				ARID1B			HDAC11	
				SERINC1			TSEN2	
				TMEM181			C3orf20	
				ZBTB2			JAGN1	
				ABRACL			IL17RC	
				PBOV1			EAF1	
				TRMT11			DCLK3	
				PERP			OXNAD1	
				SMOC2			CMTM7	
				ALDH8A1			FANCD2OS	
				ULBP3			LRRC3B	
				OR2A4			GALNT15	
				C6orf211			KCNH8	
				FAM184A			CHCHD4	
				ZDHHC14			METTL6	
				ADGB			TAMM41	
				FRMD1			IL17RE	
				LINC00574			SGOL1	
				CCDC170			PP2D1	
				MYCT1			EFHB	
				ULBP2			CPNE9	
				ULBP1			ZCWPW2	
				LPAL2			NEK10	
				PPP1R14C			CMTM8	
				RNF146			FGD5	
				SF3B5			CNTN4	
				TAAR8			XIRP1	
				RSPH3			TTC21A	
				L3MBTL3			ZNF620	
				FAM120B			ZNF619	
				FNDC1			LINC00692	
				LRP11			SUMF1	
				LTV1			RPUSD3	
				SERAC1			PRRT3	
				REPS1			C3orf35	
				PPIL4			GADL1	
				ARHGAP18			ZNF860	
				SYTL3			TPRXL	
				MTFR2			GLB1	
				TMEM200A			MIR563	
				NUS1			MIR378B	
				IL22RA2			MIR3714	
				SLC18B1			MIR4791	
				TAGAP			MIR4790	
				TAAR9			MIR4792	
				TAAR1			MIR4442	
				NCOA7				
				HINT3				
				PACRG				
				RAET1E				
				ZC2HC1B				
				RAET1L				
				SAMD3				
				PNLDC1				
				RNF217				
				NKAIN2				
				OLIG3				
				TXLNB				
				DACT2				
				C6orf118				
				OSTCP1				
				FAM26D				
				ZUFSP				
				FAM162B				
				TBC1D32				
				GPRC6A				
				RFX6				
				SLC35F1				
				VGLL2				
				TMEM244				
				WDR27				
				MCM9				
				SHPRH				
				DCBLD1				
				PRR18				
				TAAR6				
				SLC35D3				
				RSPH4A				
				ECT2L				
				NUP43				
				C6orf58				
				RAET1G				
				SUMO4				
				CENPW				
				SOGA3				
				CEP85L				
				C6orf120				
				THEMIS				
				SAMD5				
				IYD				
				TCP10L2				
				LINC00242				
				GTF2H5				
				FAM26F				
				CTAGE9				
				MIR548A2				
				MIR588				
				TMEM242				
				TRAPPC3L				
				MIR1202				
				MIR1273C				
				MIR3144				
				MIR3918				
				MIR3939				
				MIR3668				
				SMLR1				
				MIR4466				
				MIR4465				
				MIR548AJ1				
				MIR548H5				
